"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1928","Rena recap: The tough call that paid off https://t.co/34baelH0ol @Jamienzherald reports from #nzes2015",FALSE,2,NA,2015-11-17 20:10:17,FALSE,NA,"666709964480577536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",2,FALSE,FALSE,NA,NA
"1929","Birds are incredibly tough. Kevin Parker #nzes2015 - Well at least the female ones are",FALSE,2,NA,2015-11-17 20:10:04,FALSE,NA,"666709911208771584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1930","'Translocations are not a trivial thing, in any way' Kevin Parker #nzes2015",FALSE,2,NA,2015-11-17 20:08:05,FALSE,NA,"666709414687080448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",0,FALSE,FALSE,NA,NA
"1931","""In our attempt to make conservation easy we have made it trivial""Kevin Parker #nzes2015 -let's not continue down this road",FALSE,3,NA,2015-11-17 20:07:47,FALSE,NA,"666709335540563968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",1,FALSE,FALSE,NA,NA
"1932","RT @nzwormgirl: Great plug for whiteheads in Kevin Parker's plenary - ""janola sparrows"" #nzes2015",FALSE,0,NA,2015-11-17 20:07:32,FALSE,NA,"666709274869919744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marieamanda83",2,TRUE,FALSE,NA,NA
"1933","Richard Henry - father of NZ conservation. ""Biography 'Richard Henry of Resolution Is"" is being republished #nzes2015 a must read",FALSE,1,NA,2015-11-17 20:07:25,FALSE,NA,"666709245623033856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",0,FALSE,FALSE,NA,NA
"1934","RT @NZBatman: Interesting bird song recording research https://t.co/cPLmw3DNbZ @Jamienzherald #urban #birds #1080 #pestcontrol #nzes2015",FALSE,0,NA,2015-11-17 20:06:03,FALSE,NA,"666708900687679492",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",6,TRUE,FALSE,NA,NA
"1935","RT @nzwormgirl: Great plug for whiteheads in Kevin Parker's plenary - ""janola sparrows"" #nzes2015",FALSE,0,NA,2015-11-17 20:05:46,FALSE,NA,"666708828860223488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",2,TRUE,FALSE,NA,NA
"1936","@tinkerbel405 note Kevin Parker #nzes2015 didn't say that I did",FALSE,0,"tinkerbel405",2015-11-17 20:05:31,FALSE,"666708201589465088","666708767434641408","429464827","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1937","@NZBatman No chance you're at #NZES2015?",FALSE,0,"NZBatman",2015-11-17 20:05:27,FALSE,"666653609929478145","666708751198457856","924186024","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jamienzherald",0,FALSE,FALSE,NA,NA
"1938","RT @marieamanda83: Kevin Parker manages to use a plenary on wildlife translocations to make an astute political statement. Impressive #nzes…",FALSE,0,NA,2015-11-17 20:05:09,FALSE,NA,"666708674031677440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",1,TRUE,FALSE,NA,NA
"1939","RT @NZBatman: Interesting bird song recording research https://t.co/cPLmw3DNbZ @Jamienzherald #urban #birds #1080 #pestcontrol #nzes2015",FALSE,0,NA,2015-11-17 20:04:52,FALSE,NA,"666708604204904448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","megingle",6,TRUE,FALSE,NA,NA
"1940","Great plug for whiteheads in Kevin Parker's plenary - ""janola sparrows"" #nzes2015",FALSE,5,NA,2015-11-17 20:04:34,FALSE,NA,"666708529688895488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nzwormgirl",2,FALSE,FALSE,NA,NA
"1941","RT @NZBatman: Ecology in action everywhere I look @airnzfairy @DOCTSAmbassador #nzes2015 https://t.co/H3r6PDE7tn",FALSE,0,NA,2015-11-17 20:03:27,FALSE,NA,"666708244690173952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dlmandbtm73",3,TRUE,FALSE,NA,NA
"1942","Corresponding drop in DoC translocations Kevin Parker #nzes2015 #nocomment",FALSE,0,NA,2015-11-17 20:03:16,FALSE,NA,"666708201589465088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1943","Huge growth in community initiated translocations Kevin Parker #nzes2015",FALSE,0,NA,2015-11-17 20:02:44,FALSE,NA,"666708067262705664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1944","RT @NZBatman: Interesting bird song recording research https://t.co/cPLmw3DNbZ @Jamienzherald #urban #birds #1080 #pestcontrol #nzes2015",FALSE,0,NA,2015-11-17 20:02:17,FALSE,NA,"666707951281803266",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",6,TRUE,FALSE,NA,NA
"1945","Kevin Parker manages to use a plenary on wildlife translocations to make an astute political statement. Impressive #nzes2015",FALSE,2,NA,2015-11-17 20:02:12,FALSE,NA,"666707931769901056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marieamanda83",1,FALSE,FALSE,NA,NA
"1946","Nice use of Janet frame Kevin Parker #nzes2015",FALSE,0,NA,2015-11-17 20:01:29,FALSE,NA,"666707753524596736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1947","Doug Armstrong's work on bird translocations name-checked by Kevin at #nzes2015 @RNZ_Science podcast: Moving animals https://t.co/jhh86fPghC",FALSE,4,NA,2015-11-17 19:58:27,FALSE,NA,"666706989821460480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",3,FALSE,FALSE,NA,NA
"1948","RT @NZBatman: Ecology in action everywhere I look @airnzfairy @DOCTSAmbassador #nzes2015 https://t.co/H3r6PDE7tn",FALSE,0,NA,2015-11-17 19:56:59,FALSE,NA,"666706617954533377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",3,TRUE,FALSE,NA,NA
"1949","@AmphibianPhil @AmphibiaWeb needs a cooler name :( maybe a new hairdo? #nzes2015",FALSE,0,"AmphibianPhil",2015-11-17 19:56:49,FALSE,"666689417193455616","666706576292511744","573446755","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1950","Kevin Parker talking about translocations of birds in NZ #nzes2015 @RNZ_Science podcast w Kevin: Saddleback Songs https://t.co/89BYvCDSig",FALSE,2,NA,2015-11-17 19:56:25,FALSE,NA,"666706475415277568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",1,FALSE,FALSE,NA,NA
"1951","RT @AmphibianPhil: #frogOTD Leiopelma archeyi Archey's frog as endangered as kiwi but no willing philanthropists #NZES2015 @AmphibiaWeb htt…",FALSE,0,NA,2015-11-17 19:55:53,FALSE,NA,"666706343370162176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",6,TRUE,FALSE,NA,NA
"1952","RT @NZES2015: Here is our #nzes2015 programme for the first session this morning. Lots of great science! https://t.co/7EUjuOR0GG",FALSE,0,NA,2015-11-17 19:55:37,FALSE,NA,"666706276408160256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",3,TRUE,FALSE,NA,NA
"1953","RT @CillaWehi: #nzes2015 kevin- DoC is backbone for our biggest industry, tourism. Lets grow the conservation cake. Philanthropy should be …",FALSE,0,NA,2015-11-17 19:54:03,FALSE,NA,"666705882026151936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",5,TRUE,FALSE,NA,NA
"1954","The down side of connectivity. Sink sites for translocations  Kevin Parker #nzes2015",FALSE,0,NA,2015-11-17 19:53:02,FALSE,NA,"666705625213067264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1955","Translocation not an act of power but an act of redemption - Kevin Parker #nzes2015",FALSE,2,NA,2015-11-17 19:52:54,FALSE,NA,"666705591729983489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","estheraceae",1,FALSE,FALSE,NA,NA
